[2021-05-09 07:04:41,961] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 07:04:45,386] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61849]
[2021-05-09 07:05:57,593] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 07:06:00,801] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61854]
[2021-05-09 07:06:36,456] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 07:06:39,724] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61858]
[2021-05-09 07:07:29,495] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 07:07:36,501] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61864]
[2021-05-09 07:08:59,307] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 07:09:02,161] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61869]
[2021-05-09 07:09:27,807] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 07:09:30,514] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61871]
[2021-05-09 07:11:04,681] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 07:11:06,602] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61877]
[2021-05-09 07:11:41,528] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 07:11:45,727] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61883]
[2021-05-09 07:12:28,495] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61884]
